;court
2022-06-01;116.45999908447266
2022-06-02;116.71500015258789
2022-06-03;118.9900016784668
2022-06-06;120.43000030517578
2022-06-07;120.32500076293945
2022-06-08;122.30500030517578
2022-06-09;123.47999954223633
2022-06-10;122.47500228881836
2022-06-13;121.97999954223633
2022-06-14;121.83499908447266
2022-06-15;119.75500106811523
2022-06-16;119.46500015258789
2022-06-17;116.22999954223633
2022-06-20;114.0
2022-06-21;114.22500228881836
2022-06-22;113.15499877929688
2022-06-23;110.13500213623047
2022-06-24;111.46500015258789
2022-06-27;113.77499771118164
2022-06-28;116.90999984741211
2022-06-29;117.11000061035156
2022-06-30;115.42499923706055
2022-07-01;110.54499816894531
2022-07-04;
2022-07-05;107.18999862670898
2022-07-06;102.34500122070312
2022-07-07;102.30500030517578
2022-07-08;105.75499725341797
2022-07-11;106.93000030517578
2022-07-12;102.86000061035156
2022-07-13;99.43999862670898
2022-07-14;99.4749984741211
2022-07-15;100.38000106811523
2022-07-18;103.59499740600586
2022-07-19;106.46999740600586
2022-07-20;107.03499984741211
2022-07-21;105.32500076293945
2022-07-22;103.7249984741211
2022-07-25;104.29500198364258
2022-07-26;104.60499954223633
2022-07-27;105.70000076293945
2022-07-28;107.31499862670898
2022-07-29;109.03000259399414
2022-08-01;101.95000076293945
2022-08-02;100.27000045776367
2022-08-03;98.20999908447266
2022-08-04;95.56500244140625
2022-08-05;94.25499725341797
2022-08-08;95.45999908447266
2022-08-09;96.42499923706055
2022-08-10;96.93000030517578
2022-08-11;98.43499755859375
2022-08-12;98.72000122070312
2022-08-15;96.43000030517578
2022-08-16;92.98999786376953
2022-08-17;93.20999908447266
2022-08-18;94.8849983215332
2022-08-19;96.67499923706055
2022-08-22;96.07000350952148
2022-08-23;98.4000015258789
2022-08-24;100.69000244140625
2022-08-25;100.46999740600586
2022-08-26;100.43499755859375
2022-08-29;102.95999908447266
2022-08-30;102.15499877929688
2022-08-31;98.0999984741211
2022-09-01;93.56999969482422
2022-09-02;92.5099983215332
2022-09-05;
2022-09-06;92.95999908447266
2022-09-07;90.4000015258789
2022-09-08;88.39500045776367
2022-09-09;90.64999771118164
2022-09-12;93.1500015258789
2022-09-13;93.68999862670898
2022-09-14;93.79499816894531
2022-09-15;92.6349983215332
2022-09-16;91.0
2022-09-19;91.82500076293945
2022-09-20;91.29500198364258
2022-09-21;90.26000213623047
2022-09-22;90.18999862670898
2022-09-23;88.25
2022-09-26;85.38999938964844
2022-09-27;85.09000015258789
2022-09-28;87.57500076293945
2022-09-29;88.71999740600586
2022-09-30;88.2599983215332
2022-10-03;87.68500137329102
2022-10-04;90.34500122070312
2022-10-05;92.51000213623047
2022-10-06;94.125
2022-10-07;96.45499801635742
2022-10-10;97.44499969482422
2022-10-11;95.22000122070312
2022-10-12;93.06999969482422
2022-10-13;93.52000045776367
2022-10-14;93.18999862670898
2022-10-17;91.66500091552734
2022-10-18;91.02499771118164
2022-10-19;91.60000228881836
2022-10-20;92.44499969482422
2022-10-21;93.14500045776367
2022-10-24;93.43500137329102
2022-10-25;93.53999710083008
2022-10-26;94.47000122070312
2022-10-27;96.56000137329102
2022-10-28;96.27499771118164
2022-10-31;95.41500091552734
2022-11-01;93.72500228881836
2022-11-02;95.41500091552734
2022-11-03;95.16500091552734
2022-11-04;96.5250015258789
2022-11-07;97.8499984741211
2022-11-08;96.68000030517578
2022-11-09;93.83000183105469
2022-11-10;93.10499954223633
